,Definition,Author,Year,Clean Definitions
69,"With an expected global population of 9 billion by 2030, including 3 billion middle-class consumers, future consumption demand will create unprecedented pressure on natural resources. The Forum reflected on the importance of the “circular economy” in decoupling economic growth and job creation from the use of natural resources. Turning the ambition of the SDGs into reality will require robust data to capture progress, ensure effective monitoring and provide evidence to inform decision making.",OECD,2016,"with an expected global population of 9 billion by 2030, including 3 billion middle class consumers, future consumption demand will create unprecedented pressure on natural resources. the forum reflected on the importance of the circular economy in decoupling economic growth and job creation from the use of natural resources. turning the ambition of the sdgs into reality will require robust data to capture progress, ensure effective monitoring and provide evidence to inform decision making."
7,"We believe it does and that the solution lies in the development of a circular economy, where growth is decoupled from the use of scarce resources through disruptive technology, and business models are based on longevity, renewability, reuse, refurbishment, capacity sharing and dematerialisation. ","Beek, Heijden, Ridley, & Alteren",2016,"we believe it does and that the solution lies in the development of a circular economy, where growth is decoupled from the use of scarce resources through disruptive technology, and business models are based on longevity, renewability, reuse, refurbishment, capacity sharing and dematerialisation. "
100,"The proposition is that a circular economy, where products are designed for ease of recycling, reuse, disassembly and remanufacturing should replace the traditional, linear ’take, make & dispose’ model that has dominated the economy so far. This, no doubt, is a major prerequisite to stay within the Planetary Boundaries.",Wijkman & Skånberg,2016,"the proposition is that a circular economy, where products are designed for ease of recycling, reuse, disassembly and remanufacturing should replace the traditional, linear take, make & dispose model that has dominated the economy so far. this, no doubt, is a major prerequisite to stay within the planetary boundaries."
11,"Circular economy: design and business model strategies [that are] slowing, closing, and narrowing resource loops","Bocken, de Pauw, Bakker, & van der Grinten",2016,"circular economy: design and business model strategies that are slowing, closing, and narrowing resource loops"
28,"The circular economy helps decouple economic value creation from resource consumption. Its four value drivers – extending the use cycle length of an asset, increasing utilisation of an asset or resource, looping or cascading an asset through additional use cycles, and regeneration of natural capital – can be combined with one (or several) of the three main intelligent assets value drivers – knowledge of the location, condition, and availability of an asset. The circular economy rests on three key principles, shown in Figure 1.3. –– Principle 1: Preserve and enhance natural capital by controlling finite stocks and balancing renewable resource flows – for example, replacing fossil fuels with renewable energy or using the maximum sustainable yield method to preserve fish stocks. –– Principle 2: Optimize resource yields by circulating products, components and materials in use at the highest utility at all times in both technical and biological cycles – for example, sharing or looping products and extending product use cycles. –– Principle 3: Foster system effectiveness by revealing and designing out negative externalities, such as water, air, soil and noise pollution; climate change; toxins; congestion; and negative health effects related to resource use. ",Ellen MacArthur Foundation,2016,"the circular economy helps decouple economic value creation from resource consumption. its four value drivers – extending the use cycle length of an asset, increasing utilisation of an asset or resource, looping or cascading an asset through additional use cycles, and regeneration of natural capital – can be combined with one  of the three main intelligent assets value drivers – knowledge of the location, condition, and availability of an asset. the circular economy rests on three key principles, shown in figure 1.3. –– principle 1: preserve and enhance natural capital by controlling finite stocks and balancing renewable resource flows – for example, replacing fossil fuels with renewable energy or using the maximum sustainable yield method to preserve fish stocks. –– principle 2: optimize resource yields by circulating products, components and materials in use at the highest utility at all times in both technical and biological cycles – for example, sharing or looping products and extending product use cycles. –– principle 3: foster system effectiveness by revealing and designing out negative externalities, such as water, air, soil and noise pollution; climate change; toxins; congestion; and negative health effects related to resource use. "
44,"The CE has been defined as: an industrial system that is restorative or regenerative by intention and design. It replaces the end-of-life concept with restoration, shifts towards the use of renewable energy, eliminates the use of toxic chemicals, which impair reuse and return to the biosphere, and aims for the elimination of waste through the superior design of materials, products, systems and business models (Ellen MacArthur Foundation 2013b: 2; see also Aldersgate Group, 2012; Ellen Macarthur Foundation, 2013a, 2014; Lee et al., 2012).",Hobson,2016,"the circular economy has been defined as: an industrial system that is restorative or regenerative by intention and design. it replaces the end of life concept with restoration, shifts towards the use of renewable energy, eliminates the use of toxic chemicals, which impair reuse and return to the biosphere, and aims for the elimination of waste through the superior design of materials, products, systems and business models ."
95,"Replacing the linear economy—source, use and waste—with a “circular” economy offers such an alternative. In this circular [economy] system materials are applied in products in such a way that they can be recovered and reused almost endlessly. It prevents that “value” (i.e., resources) from just exiting the economy. The circular system can be organized to create sustainable value by minimizing the environmental impact and by inducing new economic activities (labor). Unlike the current economy, which is largely based on the principle “take-make-waste” (linear economy), the focus point in a circular economy is to not unnecessarily destroy resources. This implies far more than the reduction of waste through recycling [2], stresses the following focal points: reducing the consumption of raw materials, designing products in such a manner that they can easily be taken apart and reused after use (eco-design), prolonging the lifespan of products through maintenance and repair, and the use of recyclables in products and recovering raw materials from waste flows. A circular economy aims for the creation of economic value (the economic value of materials or products increases), the creation of social value (minimization of social value destruction throughout the entire system, such as the prevention of unhealthy working conditions in the extraction of raw materials and reuse) as well as value creation in terms of the environment (resilience of natural resources).","van Buren, Demmers, van der Heijden, & Witlox",2016,"replacing the linear economy—source, use and waste—with a circular economy offers such an alternative. in this circular economy system materials are applied in products in such a way that they can be recovered and reused almost endlessly. it prevents that value  from just exiting the economy. the circular system can be organized to create sustainable value by minimizing the environmental impact and by inducing new economic activities . unlike the current economy, which is largely based on the principle take make waste , the focus point in a circular economy is to not unnecessarily destroy resources. this implies far more than the reduction of waste through recycling 2, stresses the following focal points: reducing the consumption of raw materials, designing products in such a manner that they can easily be taken apart and reused after use , prolonging the lifespan of products through maintenance and repair, and the use of recyclables in products and recovering raw materials from waste flows. a circular economy aims for the creation of economic value , the creation of social value  as well as value creation in terms of the environment ."
3,"A circular economy aims to reduce the inﬂow of new re-sources and instead reuse materials from various outﬂow streams, that is, the waste of society (EEA 2016). The high priority of waste recycling is supported by legislation, policies, and directives, for examples, the waste hierarchy in the EU (Directive2008/98/EC).","Augustsson, Sörme, Karlsson, & Amneklev",2017,"a circular economy aims to reduce the inﬂow of new re sources and instead reuse materials from various outﬂow streams, that is, the waste of society . the high priority of waste recycling is supported by legislation, policies, and directives, for examples, the waste hierarchy in the eu ."
12,"A CE aims to keep products, components, and materials at their highest utility and value at all times. The value is maintained or extracted though extension of product lifetimes by reuse, refurbishment, and remanufacturing as well as closing of resource cycles—through recycling and related strategies. An alternative strategy for extension of product lifetimes may be to use products more efficiently through sharing them or making them multifunctional. All these strategies may be facilitated through changes in ownership relationships, such as leasing and product service systems (PSSs).","Bocken, Olivetti, Cullen, Potting, & Lifset",2017,"a circular economy aims to keep products, components, and materials at their highest utility and value at all times. the value is maintained or extracted though extension of product lifetimes by reuse, refurbishment, and remanufacturing as well as closing of resource cycles—through recycling and related strategies. an alternative strategy for extension of product lifetimes may be to use products more efficiently through sharing them or making them multifunctional. all these strategies may be facilitated through changes in ownership relationships, such as leasing and product service systems ."
13,"The basic premises of the CE appear to be closing and slowing loops. Closing loops refers to (post consumer waste) recycling, slowing is about retention of the product value through maintenance, repair and refurbishment, and remanufacturing, and narrowing loops is about efficiency improvements, a notion that already is commonplace in the linear economy","Bocken, Ritala, & Huotari",2017,"the basic premises of the circular economy appear to be closing and slowing loops. closing loops refers to  recycling, slowing is about retention of the product value through maintenance, repair and refurbishment, and remanufacturing, and narrowing loops is about efficiency improvements, a notion that already is commonplace in the linear economy"
6,"In a circular economy (CE) solution where cycling of material ﬂows provides repeated value, such impurities pose an implementation challenge and can add cost or complexity to the cycle or may even invalidate it.","Baxter, Aurisicchio, & Childs",2017,"in a circular economy  solution where cycling of material ﬂows provides repeated value, such impurities pose an implementation challenge and can add cost or complexity to the cycle or may even invalidate it."
10,"In this article, we examine the circular economy (CE) concept: an emergent framing around waste and resource management that aims to offer an alternative to prevalent linear take-make-dispose practices by promoting the notion of waste and resource cycling. Strategies such as, but not limited to, reuse, recycling, and remanufacturing operationalize this concept.",Blomsma & Brennan,2017,"in this article, we examine the circular economy  concept: an emergent framing around waste and resource management that aims to offer an alternative to prevalent linear take make dispose practices by promoting the notion of waste and resource cycling. strategies such as, but not limited to, reuse, recycling, and remanufacturing operationalize this concept."
33,"It foresees a “transition to a more circular economy, where the value of products, materials and resources is maintained in the economy for as long as possible, and the generation of waste minimized, which is seen as an essential contribution to the EU’s efforts to develop a sustainable, low carbon, resource efﬁcient and competitive economy","Fellner, Lederer, Scharff, & Laner",2017,"it foresees a transition to a more circular economy, where the value of products, materials and resources is maintained in the economy for as long as possible, and the generation of waste minimized, which is seen as an essential contribution to the eus efforts to develop a sustainable, low carbon, resource efﬁcient and competitive economy"
83,"According to the definition in the Law to Promote Circular Economy in the People’s Republic of China, the circular economy is the integration of activities of reduction, reuse and recycling during production, exchange and consumption (Shen and Qi 2012). The Ellen MacArthur Foundation defines the circular economy as an industrial system that is restorative or regenerative by intention and design. It replaces the ‘end of-life’ concept with restoration, moves towards the use of renewable energy, eliminates the use of toxic chemicals which impair reuse and aims for the elimination of waste through the superior design of materials, products, systems and, within this, business models (EMF 2012). Other authors also observe that the circular economy is not merely a preventative approach, reducing pollution, but also aims to repair previous damage (Cooper 1999; Nakajima 2000).",Skene,2017,"according to the definition in the law to promote circular economy in the peoples republic of china, the circular economy is the integration of activities of reduction, reuse and recycling during production, exchange and consumption . the ellen macarthur foundation defines the circular economy as an industrial system that is restorative or regenerative by intention and design. it replaces the end of life concept with restoration, moves towards the use of renewable energy, eliminates the use of toxic chemicals which impair reuse and aims for the elimination of waste through the superior design of materials, products, systems and, within this, business models . other authors also observe that the circular economy is not merely a preventative approach, reducing pollution, but also aims to repair previous damage ."
41,"In the inﬂuential Ellen MacArthur Foundation Report, Towards the Circular Economy (EMF 2012, 7), the authors deﬁne the circular economy as an industrial system that is “restorative and regenerative by intention and design . . . It replacesthe ‘end-of-life’ concept with restoration, shifts towards the use of renewable energy, eliminates the use of toxic chemicals, which impair reuse, and aims for the elimination of waste through the superior design of materials, products systems, and, within this, business models.",Goldberg,2017,"in the inﬂuential ellen macarthur foundation report, towards the circular economy , the authors deﬁne the circular economy as an industrial system that is restorative and regenerative by intention and design . . . it replacesthe end of life concept with restoration, shifts towards the use of renewable energy, eliminates the use of toxic chemicals, which impair reuse, and aims for the elimination of waste through the superior design of materials, products systems, and, within this, business models."
42,"The concept of circular economy conceives of a production and consumption system with minimal losses of materials and energy through extensive reuse, recycling, and recovery (Ellen MacArthur Foundation 2013; EEA 2014).","Haupt, Vadenbo, & Hellweg",2017,"the concept of circular economy conceives of a production and consumption system with minimal losses of materials and energy through extensive reuse, recycling, and recovery ."
53,"Circularity metrics are useful for empirically assessing the effects of a circular economy in terms of proﬁtability, job creation, and environmental impacts. The ultimate goal of a circular economy is sustainable development (Bonciu 2014;Kopnina 2014; Mathews et al. 2011; Qiao and Qiao 2013;Lowe 2015). A shift to a circular economy presents the challenge of recirculating direct and indirect material ﬂows in a manner that can promote eco-effectiveness (Webster 2013). The shift requires changes at the micro level (individual companies and consumers), meso level (eco-industrial parks), and macro level (city, province, region, and nation) (Geng et al. 2016a; Ghisellini et al. 2016; Qiao and Qiao 2013; Geng et al. 2009;Geng and Doberstein 2008). Micro-level activities that can support this change include eco-design, waste minimization, cleaner production, environmental management systems, product-life extension, new business models, and new modes of consumption. Three material recirculation strategies (reuse, remanufacture, and recycle) that seek to transform the way manufactured goods are produced and consumed have been identiﬁed.","Linder, Sarasini, & van Loon",2017,"circularity metrics are useful for empirically assessing the effects of a circular economy in terms of proﬁtability, job creation, and environmental impacts. the ultimate goal of a circular economy is sustainable development . a shift to a circular economy presents the challenge of recirculating direct and indirect material ﬂows in a manner that can promote eco effectiveness . the shift requires changes at the micro level , meso level , and macro level  . micro level activities that can support this change include eco design, waste minimization, cleaner production, environmental management systems, product life extension, new business models, and new modes of consumption. three material recirculation strategies  that seek to transform the way manufactured goods are produced and consumed have been identiﬁed."
22,"In a circular economy (CE), the economic and environmental value of materials is preserved for as long as possible by keeping them in the economic system, either by lengthening the life of the products formed from them or by looping them back in the system to be reused. The notion of waste no longer exists in a CE, because products and materials are,in principle, reused and cycled indeﬁnitely","den Hollander, Bakker, & Hultink",2017,"in a circular economy , the economic and environmental value of materials is preserved for as long as possible by keeping them in the economic system, either by lengthening the life of the products formed from them or by looping them back in the system to be reused. the notion of waste no longer exists in a ce, because products and materials are,in principle, reused and cycled indeﬁnitely"
57,"In summary, China’s approach to the CE reﬂects a greater concern with industrial production, water, pollution, and places greater attention to scale (through a multilevel system of experimentation under hierarchy) and place (through incorporation of CE ideas into land-use planning). CE policy is framed as part of a wider response to the environmental challenges created by rapid growth and industrialization. Europe’s conception of the CE has a narrower environmental scope, focusing on waste and resources, with little regard for pollution, and Europe’s view is largely silent on issues of scale or place. Europe’s CE policies are framed in economic as much as environmental terms, focusing on the potential for resource efﬁciency to boost competitiveness.",McDowall et al.,2017,"in summary, chinas approach to the circular economy reﬂects a greater concern with industrial production, water, pollution, and places greater attention to scale  and place . circular economy policy is framed as part of a wider response to the environmental challenges created by rapid growth and industrialization. europes conception of the circular economy has a narrower environmental scope, focusing on waste and resources, with little regard for pollution, and europes view is largely silent on issues of scale or place. europes circular economy policies are framed in economic as much as environmental terms, focusing on the potential for resource efﬁciency to boost competitiveness."
59,"The concept of the circular economy (CE) has emerged in recent years in response to the need for decoupling economic growth from resource consumption and environmental impacts (EC 2011; EMF 2014). Aiming to maximize resource efﬁciency, it represents an alternative to the current linear take-make-use-dispose economic model. The CE concept rests on the following three fundamental principles (EMF 2012): (1) preserving and enhancing natural capital by controlling ﬁnite stocks and balancing renewable resource ﬂows; (2) optimizing resource yields by circulating products, components, and materials at the highest utility and value at all times within technical and biological cycles; and (3) fostering system effectiveness by revealing and designing out negative externalities.","Mendoza, Sharmina, Gallego-Schmid, Heyes, & Azapagic",2017,"the concept of the circular economy  has emerged in recent years in response to the need for decoupling economic growth from resource consumption and environmental impacts . aiming to maximize resource efﬁciency, it represents an alternative to the current linear take make use dispose economic model. the circular economy concept rests on the following three fundamental principles :  preserving and enhancing natural capital by controlling ﬁnite stocks and balancing renewable resource ﬂows;  optimizing resource yields by circulating products, components, and materials at the highest utility and value at all times within technical and biological cycles; and  fostering system effectiveness by revealing and designing out negative externalities."
61,"A circular economy is restorative and regenerative by design, and aims to keep products, components, and materials at their highest utility and value at all times. The concept [ . . . ] is a continuous positive development cycle that preserves and enhances natural capital, optimises resource yields, and minimises system risks by managing ﬁnite stocks and renewable ﬂows. It works effectively at every scale. In light of the environmental consequences of linear production and consumption processes, the circular economy (CE) is gaining momentum as a concept and practice, promoting closed material cycles by focusing on multiple strategies from material recycling to product reuse, as well as rethinking production and consumption chains toward increased resource efﬁciency. Yet, by considering mainly cost-effective opportunities within the realm of economic competitiveness, it stops short of grappling with the institutional and social predispositions necessary for societal transitions to a CE.","Moreau, Sahakian, van Griethuysen, & Vuille",2017,"a circular economy is restorative and regenerative by design, and aims to keep products, components, and materials at their highest utility and value at all times. the concept  . . .  is a continuous positive development cycle that preserves and enhances natural capital, optimises resource yields, and minimises system risks by managing ﬁnite stocks and renewable ﬂows. it works effectively at every scale. in light of the environmental consequences of linear production and consumption processes, the circular economy  is gaining momentum as a concept and practice, promoting closed material cycles by focusing on multiple strategies from material recycling to product reuse, as well as rethinking production and consumption chains toward increased resource efﬁciency. yet, by considering mainly cost effective opportunities within the realm of economic competitiveness, it stops short of grappling with the institutional and social predispositions necessary for societal transitions to a ce."
92,"The circular economy (CE) concept is gaining weight as an alternative to the make-use-dispose paradigm (EC 2011). The CE concept aims at extending the useful life of materials and promotes recycling to maximize material service per resource input while lowering environmental impacts and resource use. The CE concept is closely related to the 3R Principles: Reduce, Reuse, and Recycle (Ghisellini et al. 2016; Lieder and Rashid 2016).",Tisserant et al.,2017,"the circular economy  concept is gaining weight as an alternative to the make use dispose paradigm . the circular economy concept aims at extending the useful life of materials and promotes recycling to maximize material service per resource input while lowering environmental impacts and resource use. the circular economy concept is closely related to the 3r principles: reduce, reuse, and recycle ."
62,"As a concept, the circular economy (CE) is being discussed and practiced at scales ranging from the individual product or ﬁrm to global supply chains and the entire globalized economy. Moreover, CE practices hold consequence not only for environmental impact, but also for economic performance, human well-being, and cultural shift toward a sustainability paradigm (Geng and Doberstein 2008; Geng et al. 2012, Hobson2016). The Ellen MacArthur Foundation (EMF) (EMF 2013), a UK-based charitable organization, has proposed three principles of a CE: (1) preserve and enhance natural capital; (2) optimize resource yields; and (3) foster system effectiveness. These principles are well deﬁned, but also broad enough for almost any entity to adapt for its own purposes and operations.","Mulrow, Derrible, Ashton, & Chopra",2017,"as a concept, the circular economy  is being discussed and practiced at scales ranging from the individual product or ﬁrm to global supply chains and the entire globalized economy. moreover, circular economy practices hold consequence not only for environmental impact, but also for economic performance, human well being, and cultural shift toward a sustainability paradigm . the ellen macarthur foundation  , a uk based charitable organization, has proposed three principles of a ce:  preserve and enhance natural capital;  optimize resource yields; and  foster system effectiveness. these principles are well deﬁned, but also broad enough for almost any entity to adapt for its own purposes and operations."
19,"A circular economy is one that is restorative and regenerative by design and aims to keep products, components, and materials at their highest utility and value at all times",Cullen,2017,"a circular economy is one that is restorative and regenerative by design and aims to keep products, components, and materials at their highest utility and value at all times"
66,"The CE, though, seeks to have no net impact on the environment, by restoring any damage done in resource acquisition while minimizing waste generated during the production and life cycle of products. Moreover, it has been claimed that CE approaches will generate jobs and improve competitiveness, while fostering energy savings and reducing GHG emissions (EC 2015b). The objective of decoupling economic growth from re-source consumption is at the heart of the CE, according to Gregson and colleagues (2015), reﬂected in the emphasis on resource efﬁciency. In the CE, reuse and remanufacture conserve more value than recycling (Stahel and Reday-Mulvey 1981). Most recycling is down cycling, with reduced quality and value (Braungart et al. 2007). It is not only important to use resources and goods more efﬁciently, but also to limit unnecessary demand—reduce or prevent in the 3R’s waste hierarchy (Stahel 1997; Cooper 2005). The circular economy (CE) concept has emerged as a way to obtain more value from resources while reducing material throughput. It involves closed-loop and cooperative approaches, reuse, adaptation, resource stewardship, stock management, sharing, and other new business models.",Ness & Xing,2017,"the ce, though, seeks to have no net impact on the environment, by restoring any damage done in resource acquisition while minimizing waste generated during the production and life cycle of products. moreover, it has been claimed that circular economy approaches will generate jobs and improve competitiveness, while fostering energy savings and reducing ghg emissions . the objective of decoupling economic growth from re source consumption is at the heart of the ce, according to gregson and colleagues , reﬂected in the emphasis on resource efﬁciency. in the ce, reuse and remanufacture conserve more value than recycling . most recycling is down cycling, with reduced quality and value . it is not only important to use resources and goods more efﬁciently, but also to limit unnecessary demand—reduce or prevent in the 3rs waste hierarchy . the circular economy  concept has emerged as a way to obtain more value from resources while reducing material throughput. it involves closed loop and cooperative approaches, reuse, adaptation, resource stewardship, stock management, sharing, and other new business models."
67,"The circular economy, deﬁned asa restorative or regenerative industrial system by intention and design (EMF 2013), has recently been proposed as a solution for this challenge by the European Commission (EC) (EC 2015).","Niero, Hauschild, Hoffmeyer, & Olsen",2017,"the circular economy, deﬁned asa restorative or regenerative industrial system by intention and design , has recently been proposed as a solution for this challenge by the european commission  ."
17,"A circular economy is a transformative economy redefining production and consumption patterns, inspired by ecosystems principles and restorative by design, which increases resilience, eliminates waste and creates shared value through an enhanced circulation of material and immaterial flows",Circular Academy,2017,"a circular economy is a transformative economy redefining production and consumption patterns, inspired by ecosystems principles and restorative by design, which increases resilience, eliminates waste and creates shared value through an enhanced circulation of material and immaterial flows"
34,"We define the Circular Economy as a regenerative system in which resource input and waste, emission, and energy leakage are minimised by slowing, closing, and narrowing material and energy loops. This can be achieved through long-lasting design, maintenance, repair, reuse, remanufacturing, refurbishing, and recycling.","Geissdoerfer, Savaget, Bocken, & Hultink",2017,"we define the circular economy as a regenerative system in which resource input and waste, emission, and energy leakage are minimised by slowing, closing, and narrowing material and energy loops. this can be achieved through long lasting design, maintenance, repair, reuse, remanufacturing, refurbishing, and recycling."
78,"Such a strategy can be informed by circular economy (CE) principles such as reuse and recycling (Ramoni and Zhang 2013). A circular or closed-loop economy aims to eliminate waste by cycling materials and products within the system to achieve resource and energy efﬁciency as well as proﬁtability (EMF 2013; McKinsey & Company 2014; Allwood et al. 2011, 2012; Gregson et al. 2015; Ghisellini et al. 2016).","Richa, Babbitt, & Gaustad",2017,such a strategy can be informed by circular economy  principles such as reuse and recycling . a circular or closed loop economy aims to eliminate waste by cycling materials and products within the system to achieve resource and energy efﬁciency as well as proﬁtability .
79,"To support both economic growth and sustainable resource management, the circular economy paradigm seems to be a great opportunity for industrial practitioners. Indeed, the promises and benefits from circular practices have been comprehensively discussed in literature (EMF, 2013b; CIRAIG, 2015; MGI, 2015; Lacy, 2015; Ghisellini et al., 2016). The circular economy is seen as a restorative solution with the potential to eliminate waste (EC, 2015a; EEA, 2015; EEA, 2016). Also, it could both secure Europe’s competitiveness and ensure benefits from the three piliars of sustainable development (Banaitė, 2016 Sauvé et al., 2016; Geissdoerfer et al., 2017). Particularly, using closed-loop approaches mitigate manufacturers' dependency on virgin materials and decrease price volatility (Kiser, 2016).","Saidani, Yannou, Leroy, & Cluzel",2017,"to support both economic growth and sustainable resource management, the circular economy paradigm seems to be a great opportunity for industrial practitioners. indeed, the promises and benefits from circular practices have been comprehensively discussed in literature . the circular economy is seen as a restorative solution with the potential to eliminate waste . also, it could both secure europes competitiveness and ensure benefits from the three piliars of sustainable development . particularly, using closed loop approaches mitigate manufacturers' dependency on virgin materials and decrease price volatility ."
63,"The circular economy is an economic model wherein planning, resourcing, procurement, production and reprocessing are designed and managed, as both process and output, to maximize ecosystem functioning and human well-being","Murray, Skene, & Haynes",2017,"the circular economy is an economic model wherein planning, resourcing, procurement, production and reprocessing are designed and managed, as both process and output, to maximize ecosystem functioning and human well being"
112,"The concept of the “circular economy” has gained signiﬁcant traction since its introduction a half century ago (Boulding 1966). Scholars, practitioners, governments, and non-governmental organizations have recognized the apparent appeal of closing material loops, reusing and recycling industrial “nutrients” to extract their maximum value with minimum waste (Ellen MacArthur Foundation 2016; Frosch and Gallopoulos 1989; Yuan et al. 2006). There are many “schools of thought” regarding the circular economy that share a central theme, but differ in their intended outcomes and optimal implementations (Ellen MacArthur Foundation 2016). Some of these concentrate on minimizing waste and resource extraction (EC 2016a; Nansai et al. 2014), others focus on economic growth potential (Ellen MacArthur Foundation 2015; McKinsey & Company2014; Morgan and Mitchell 2015), and others on environmental impact reduction (e.g., Allwood 2014).",Zink & Geyer,2017,"the concept of the circular economy has gained signiﬁcant traction since its introduction a half century ago . scholars, practitioners, governments, and non governmental organizations have recognized the apparent appeal of closing material loops, reusing and recycling industrial nutrients to extract their maximum value with minimum waste . there are many schools of thought regarding the circular economy that share a central theme, but differ in their intended outcomes and optimal implementations . some of these concentrate on minimizing waste and resource extraction , others focus on economic growth potential , and others on environmental impact reduction ."
